,mem,page,total
242,2100520,13433552,15872372
243,2104308,13716668,16157460
244,2097172,12083756,14519108
245,2097564,12277492,14712140
246,2099148,12467356,14902916
247,2096424,11981436,14415072
248,2097608,12133708,14568052
249,2094440,12309172,14741132
250,2096944,12240852,14676308
251,2094428,12426444,14859060
252,2093888,12492628,14905044
253,2093236,12573920,15005604
254,2094292,12786196,15217920
255,2092912,12688488,15119536
256,2094096,12912080,15346476
257,2096208,13115168,15549764
258,2093532,13043212,15475776
259,2095508,13236972,15671748
260,2092340,13421196,15852280
261,2093932,13357632,15789628
262,2091948,13528620,15959304
263,2092212,13724052,16153988
264,2095068,13591236,16022288
265,2092028,13728776,16159344
266,2093612,13736860,16165736
267,2077672,13569360,15985440
269,2077936,13756204,16169584
270,2076820,13534388,15937284
271,2077060,13670216,16084144
272,2077852,13747508,16162536
273,2076220,13486892,15899280
274,2077404,13697804,16111628
275,2076348,13745296,16157704
276,2077140,13750616,16153596
277,2079252,13733128,16149408
278,2079568,13463288,15881480
279,2076528,13632692,16048348
280,2078840,13741016,16158468
281,2086620,13601780,16027232
282,2089228,13736244,16152388
283,2097056,13733708,16167436
284,2050428,13546776,15937432
285,2055444,13752044,16145696
286,2061780,13729732,16130528
287,2068064,13764264,16169100
288,2074752,13759940,16171452
289,2074720,13202656,15614652
290,2080920,13412560,15829864
291,2088048,13608700,16032732
292,2090712,13519584,15946064
293,2098232,13722944,16156768
294,2101940,13673876,16111096
295,2104848,13728516,16170260
296,2111184,13706728,16154136
297,2095144,13468216,15900204
298,2095936,13689752,16118912
299,2094888,13446312,15876788
300,2096072,13659748,16093040
301,2098448,13715136,16150124
302,2099240,13724956,16151888
303,2101428,13719728,16158416
304,2096836,13258472,15693040
305,2098812,13481784,15917944
306,2096964,13666312,16101192
307,2098732,13554800,15991564
308,2097012,13728116,16161892
310,2099916,13730424,16167936
311,2102288,13706696,16142648
312,2100804,13395136,15831960
313,2099612,13362728,15797388
314,2101988,13471600,15908156
315,2100284,13555380,15990456
316,2101868,13717552,16150752
317,2099960,13493848,15933024
318,2101672,13715468,16153916
319,2099560,13717044,16154300
320,2101976,13529204,15969472
321,2100784,13722892,16159636
322,2101576,13730052,16166012
323,2101580,13499612,15938624
324,2103956,13657984,16097236
325,2103024,13653300,16094468
326,2104344,13715192,16157672
327,2102700,13477768,15918132
328,2081500,13633820,16053640
329,2083612,13730524,16152028
330,2082896,13521344,15943312
331,2085136,13726892,16150780
332,2082232,13735476,16156888
333,2085924,13586932,16012588
334,2088428,13735200,16163480
335,2098196,13717648,16154940
336,2105320,13641180,16086004
337,2107164,13725352,16171204
338,2105684,13441352,15886648
339,2107440,13666180,16112880
340,2108492,13705284,16153284
341,2106892,13504056,15950168
342,2109132,13710852,16158992
343,2106228,13706832,16152052
344,2106220,13658816,16104228
345,2107804,13710332,16157572
346,2106608,13419204,15865072
347,2089356,13554708,15984028
348,2091468,13736404,16167508
349,2089120,13520404,15949960
351,2091360,13727820,16157936
352,2088720,13738732,16166048
353,2090276,13555216,15983704
354,2088820,13728068,16156300
355,2091196,13729004,16158112
356,2088820,13739700,16167992
357,2094780,13472412,15907060
358,2097548,13653496,16088396
359,2104320,13591092,16033404
360,2107616,13695444,16142812
361,2108144,13720836,16166784
362,2107608,13478368,15925060
363,2107456,13462900,15909208
364,2106792,13567076,16011984
365,2109168,13684792,16132216
366,2109264,13632164,16079016
367,2110848,13711692,16159760
368,2111560,13463364,15913956
369,2116176,13519056,15973820
370,2113536,13623552,16075956
371,2115908,13429612,15886504
372,2118148,13534288,15993348
373,2115508,13636144,16092388
374,2114716,13577544,16031576
375,2116036,13709680,16165268
376,2095388,13411552,15846920
377,2096044,13522964,15959096
378,2098156,13619868,16054160
379,2096836,13390504,15827072
380,2096836,13398224,15835892
381,2096836,13406472,15843712
382,2101060,13414192,15855544
383,2109244,13422224,15872120
384,2115052,13392848,15848336
385,2115052,13399896,15853604
386,2115052,13406656,15860700
387,2115316,13413340,15868284
388,2115316,13420360,15875268
389,2115316,13427176,15881764
390,2115316,13433776,15888544
391,2115316,13440552,15895000
392,2115316,13447156,15901844
394,2097708,13434012,15871716
395,2098628,13435760,15872412
396,2099872,13557208,15994200
397,2098552,13662004,16097536
398,2103304,13508012,15950444
399,2100704,13608916,16047168
400,2111908,13426496,15877352
401,2120620,13399484,15858768
402,2120620,13411948,15872764
403,2120884,13421268,15880856
404,2120884,13429956,15889084
405,2120884,13438872,15897368
406,2120884,13447872,15906932
407,2120884,13456860,15916024
408,2101424,13428168,15868592
409,2101424,13435768,15875812
410,2101424,13443068,15882560
411,2101424,13450520,15890292
412,2101424,13458108,15899064
413,2101424,13465152,15906244
414,2103008,13472748,15915048
415,2110664,13480300,15930648
416,2118320,13504888,15961656
417,2119904,13457120,15916452
418,2119904,13463416,15923020
419,2120168,13470060,15929556
420,2120168,13475864,15934456
421,2120168,13482320,15941828
