,mem,page,total
478,2097224,13521148,15973936
479,2098276,13679444,16131072
480,2099068,13498228,15953748
481,2101180,13603868,16058608
482,2109364,13703136,16166232
483,2120040,13453140,15930108
484,2122944,13422680,15901316
485,2122944,13431412,15910428
486,2123208,13440520,15919752
487,2123208,13449424,15927196
488,2123208,13458004,15935692
489,2123208,13466928,15943884
490,2123208,13475512,15952448
491,2098628,13446508,15900080
492,2098628,13453856,15906332
494,2098628,13461424,15913924
495,2098628,13468820,15920876
496,2098628,13475984,15928756
497,2101004,13483500,15938980
498,2108660,13490952,15954284
499,2116052,13498232,15969124
500,2121860,13468092,15945112
501,2121860,13474444,15950404
502,2121860,13481040,15958060
503,2121860,13487236,15964564
504,2122124,13493784,15970848
505,2122124,13500144,15977896
506,2122124,13506248,15983336
507,2122124,13512772,15990156
508,2122124,13518904,15995688
509,2122124,13525356,16003272
510,2099896,13551552,16007664
511,2099168,13553380,16007224
512,2098904,13515240,15971420
513,2100292,13636544,16092896
514,2098972,13696828,16152128
515,2103988,13570688,16029124
516,2116396,13684488,16156904
517,2126692,13426040,15909552
518,2129216,13529792,16013052
519,2128688,13419028,15904316
520,2131044,13517064,16004268
521,2127740,13359056,15843312
522,2127740,13368304,15852620
523,2127740,13377892,15861960
524,2103160,13350004,15808468
525,2103160,13358048,15816548
526,2103160,13365816,15825856
527,2103160,13373904,15832360
528,2103160,13381512,15839880
529,2103952,13389368,15848556
530,2112136,13397100,15864524
531,2120056,13404892,15880640
532,2126392,13375268,15857880
533,2126392,13382180,15864692
534,2126392,13388872,15871348
535,2126656,13395668,15877900
537,2126656,13402596,15884720
538,2126656,13409096,15891476
539,2126656,13415792,15897524
540,2126656,13422656,15904032
541,2126656,13429588,15911640
542,2126656,13462116,15944212
543,2103104,13508328,15966520
544,2103104,13516152,15973432
545,2104420,13494028,15953256
546,2104420,13616332,16076460
547,2106004,13453680,15917736
548,2118012,13565256,16038664
549,2127780,13684500,16167344
550,2128836,13378200,15864892
551,2128836,13387416,15873484
552,2129100,13396892,15883312
553,2129100,13406412,15892628
554,2129100,13415804,15901732
555,2129100,13425144,15911088
556,2104520,13396580,15857916
557,2104520,13404572,15865484
558,2104520,13412672,15873256
559,2104520,13420528,15881304
560,2104520,13428060,15889556
561,2106632,13435988,15898320
562,2114552,13443464,15914284
563,2122472,13451136,15929680
564,2128016,13421540,15905816
565,2128016,13428420,15912840
566,2128016,13434996,15919360
567,2128280,13441732,15926448
568,2128280,13448584,15932756
569,2128280,13455024,15939308
570,2128280,13461832,15945836
571,2128280,13468048,15953144
572,2128280,13474784,15959908
573,2128280,13506916,15991264
574,2104728,13551300,16010948
575,2104728,13559688,16020552
576,2104728,13665588,16125896
577,2104728,13517604,15977872
578,2106312,13612456,16074324
579,2116872,13431832,15904740
581,2127960,13468320,15952676
582,2129016,13414732,15900800
583,2129016,13423600,15908824
584,2129280,13432088,15918340
585,2129280,13440976,15926052
586,2129280,13449756,15934908
587,2129280,13458452,15943508
588,2129280,13478080,15963432
589,2104700,13437480,15899460
590,2104700,13445128,15907012
591,2104700,13452532,15914368
592,2104700,13459640,15921388
