,mem,page,total
3133,2169496,13571308,15972164
3134,2169496,13579240,15981048
3135,2171608,13586884,15990900
3136,2176888,13594360,16004748
3137,2181904,13601912,16017344
3138,2186656,13572040,15991236
3139,2186656,13578984,15998552
3140,2186656,13585892,16005088
3141,2186656,13592828,16011600
3142,2186920,13599392,16018640
3143,2186920,13606064,16025412
3144,2186920,13612884,16032588
3145,2186920,13619404,16038612
3146,2186920,13626020,16045468
3147,2186920,13632620,16052948
3148,2186920,13639188,16060056
3149,2186920,13645920,16066308
3150,2186920,13652240,16073208
3151,2186920,13658936,16079252
3152,2169508,13641524,16044672
3153,2169896,13753204,16156320
3154,2168708,13599736,16003736
3155,2170924,13713048,16116832
